"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
A83,Gauáian CGS (Centímetro-Gram-Segundo sistema) unidad de magnetización,,GAUáIAN CGS (CENTIMETRO-GRAM-SEGUNDO SISTEMA) UNIDAD DE MAGNETIZACION
A84,GigaCulombio por metro cúbico,GC/m?,GIGACULOMBIO POR METRO CUBICO
A85,Gigaelectrónvoltio, GeV,GIGAELECTRONVOLTIO
A86,Gigahertz, GHz,GIGAHERTZ
A87,GigaOhm, G?,GIGAOHM
A88,GigaOhm metro,G?Àm,GIGAOHM METRO
A89,Gigapascal, GPa,GIGAPASCAL
A9,Tarífa,,TARIFA
A90,Gigawatt, GW,GIGAWATT
A91,Grado centesimal, gon,GRADO CENTESIMAL
A93,Gramo por metro cúbico,g/m?,GRAMO POR METRO CUBICO
A94,Gramo por Mol,g/mol,GRAMO POR MOL
A95,Gray, Gy,GRAY
A96,Gray por segundo,Gy/s,GRAY POR SEGUNDO
A97,Hectopascal, hPa,HECTOPASCAL
A98,Henry por metro, H/m,HENRY POR METRO
A99,Bit, bit,BIT
AA,Balón,,BALON
AB,Paquete a granel, pk,PAQUETE A GRANEL
ACR,Acre,acre,ACRE
ACT,Actividad,,ACTIVIDAD
AD,Byte,byte,BYTE
AE,Amperio por metro, A/m,AMPERIO POR METRO
AH,Minuto adicional,,MINUTO ADICIONAL
AI,Minuto y medio por llamada,,MINUTO Y MEDIO POR LLAMADA
AJ,policía,,POLICIA
AK,Braza, fth,BRAZA
AL,Línea de acceso,,LINEA DE ACCESO
AMH,Amperio hora, AÀh,AMPERIO HORA
AMP,Amperio,  A,AMPERIO
ANN,Año,  y,ANO
AP,Libra de aluminio solamente,,LIBRA DE ALUMINIO SOLAMENTE
APZ,Onza troy u onza farmacéutica,tr oz,ONZA TROY U ONZA FARMACEUTICA
AQ,Unidad del factir anti-hemofilico.,,UNIDAD DEL FACTIR ANTI-HEMOFILICO.
AR,supositorio,,SUPOSITORIO
ARE,Are, un,ARE
AS,Variedad,,VARIEDAD
ASM,Grado alcohólico en masa,,GRADO ALCOHOLICO EN MASA
ASU,Grado alcohólico volumétrico,,GRADO ALCOHOLICO VOLUMETRICO
ATM,Atmósfera estándar, atm,ATMOSFERA ESTANDAR
ATT,Atmósfera técnica,  a,ATMOSFERA TECNICA
AW,Relleno de polvo en viales,,RELLENO DE POLVO EN VIALES
AWG,Calibre de alambre americano, AWG,CALIBRE DE ALAMBRE AMERICANO
AY,Montaje,,MONTAJE
AZ,Unidad térmica británica (tabla internacional) por libra,    BtuIT/lb,UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR LIBRA
B0,Btu por pie cúbico,    BTU / ft?,BTU POR PIE CUBICO
B1,Barril (EUA) por día,  barrelá(US)/d,BARRIL (EUA) POR DIA
B10,Bits por segundo,bit/s,BITS POR SEGUNDO
B11,Joule por kilogramo kelvin,    J/(kgÀK),JOULE POR KILOGRAMO KELVIN
B12,Joule por metro, J/m,JOULE POR METRO
B13,Joule por metro cuadrado,J/m?,JOULE POR METRO CUADRADO
B14,Joule por metro a la cuarta potencia,J/m?,JOULE POR METRO A LA CUARTA POTENCIA
B15,Juole por Mol,J/mol,JUOLE POR MOL
B16,Juoule por Mol kelvin,    J/(molÀK),JUOULE POR MOL KELVIN
B17,Crédito,,CREDITO
B18,Segundos joule, JÀs,SEGUNDOS JOULE
B19,Dígito,,DIGITO
B2,litera,,LITERA
B20,Joule metro cuadrado por kologramo,     JÀm?/kg,JOULE METRO CUADRADO POR KOLOGRAMO
B21,Kelvin por watt, K/W,KELVIN POR WATT
B22,Kiloamperio, kA,KILOAMPERIO
B23,Kiloamperio por metro cuadrado,kA/m?,KILOAMPERIO POR METRO CUADRADO
B24,Kiloamperio por metro,kA/m,KILOAMPERIO POR METRO
B25,Kilobecquerel por metrocúbico,     kBq/kg,KILOBECQUEREL POR METROCUBICO
B26,KiloCulombio, kC,KILOCULOMBIO
B27,KiloCulombio por metro cúbico,kC/m?,KILOCULOMBIO POR METRO CUBICO
B28,KiloCulombio por metro cuadrado,kC/m?,KILOCULOMBIO POR METRO CUADRADO
B29,Kiloelectrónvoltio, keV,KILOELECTRONVOLTIO
B3,Libra de bateo,,LIBRA DE BATEO
B30,Gibibit,Gibit,GIBIBIT
B31,Kilogramo metro por segundo,     kgÀm/s,KILOGRAMO METRO POR SEGUNDO
B32,Kilogramo metro cuadrado,kgÀm?,KILOGRAMO METRO CUADRADO
B33,Kilogramo metro cuadrado por segundo,     kgÀm?/s,KILOGRAMO METRO CUADRADO POR SEGUNDO
B34,Kilogramo por decímetro cúbico,     kg/dm?,KILOGRAMO POR DECIMETRO CUBICO
B35,Kilogramo por litro,  kg/l or kg/L,KILOGRAMO POR LITRO
B36,Calorías (termoquímicas) por gramo,   caláthá/ g,CALORIAS (TERMOQUIMICAS) POR GRAMO
B37,Kilogramo de fuerza, Kgf,KILOGRAMO DE FUERZA
B38,Kilogramo-metro de la fuerza,     Kgf À m,KILOGRAMO-METRO DE LA FUERZA
B39,Kilogramo-fuerza del metro por segundo,   Kgf À m / s,KILOGRAMO-FUERZA DEL METRO POR SEGUNDO
B4,"Barril, unidad imperial",,"BARRIL, UNIDAD IMPERIAL"
B40,Kilogramo de fuerza por metro cuadrado,    Kgf / m?,KILOGRAMO DE FUERZA POR METRO CUADRADO
B41,Kilojoule por kelvin,kJ/K,KILOJOULE POR KELVIN
B42,Kilojoule por kilogramo,kJ/kg,KILOJOULE POR KILOGRAMO
B43,Kilojoule por kilogramo kelvin,    kJ/(kgÀK),KILOJOULE POR KILOGRAMO KELVIN
B44,Kilojoule por Mol,     kJ/mol,KILOJOULE POR MOL
B45,KiloMol,kmol,KILOMOL
B46,KiloMol por metro cúbico,     kmol/m?,KILOMOL POR METRO CUBICO
B47,Kilonewton, kN,KILONEWTON
B48,Kilonewton metro,kNÀm,KILONEWTON METRO
B49,KiloOhm, k?,KILOOHM
B5,palanquilla,,PALANQUILLA
B50,KiloOhm metro,k?Àm,KILOOHM METRO
B51,KiloLibra, Kp,KILOLIBRA
B52,Kilosegundo, ks,KILOSEGUNDO
B53,Kilosiemens, kS,KILOSIEMENS
B54,Kilosiemens por metro,kS/m,KILOSIEMENS POR METRO
B55,Kilovoltio por metro,kV/m,KILOVOLTIO POR METRO
B56,Kiloweber por metro,kWb/m,KILOWEBER POR METRO
B57,Año luz, ly,ANO LUZ
B58,Litro por Mol,l/mol,LITRO POR MOL
B59,Lumen hora,lmÀh,LUMEN HORA
B6,Bollo,,BOLLO
B60,Lumen por metro cuadrado,lm/m?,LUMEN POR METRO CUADRADO
B61,Luminosidad por watt,lm/W,LUMINOSIDAD POR WATT
B62,Lumen segundo,lmÀs,LUMEN SEGUNDO
B63,Hora de luz,lxÀh,HORA DE LUZ
B64,Segundo de luz,lxÀs,SEGUNDO DE LUZ
B65,Maxwell, Mx,MAXWELL
B66,Megaamperio por metro cuadrado,MA/m?,MEGAAMPERIO POR METRO CUADRADO
B67,Megabecquerel por kilogramo,     MBq/kg,MEGABECQUEREL POR KILOGRAMO
B68,Gigabit,Gbit,GIGABIT
B69,MegaCulombio por metro cúbico,MC/m?,MEGACULOMBIO POR METRO CUBICO
B7,Ciclo,,CICLO
B70,MegaCulombio por metro cuadrado,MC/m?,MEGACULOMBIO POR METRO CUADRADO
B71,Megaelectrónvoltio, MeV,MEGAELECTRONVOLTIO
B72,Megagramo por metro cúbico,Mg/m?,MEGAGRAMO POR METRO CUBICO
B73,Meganewton, MN,MEGANEWTON
B74,Meganewton metro,MNÀm,MEGANEWTON METRO
B75,MegaOhm, M?,MEGAOHM
B76,MegaOhm metro,M?Àm,MEGAOHM METRO
B77,Megasiemens por metro,MS/m,MEGASIEMENS POR METRO
B78,Megavoltio, MV,MEGAVOLTIO
B79,Megavoltio por metro,MV/m,MEGAVOLTIO POR METRO
B8,Joule por metro cúbico,J/m?,JOULE POR METRO CUBICO
B80,Gigabit por segundo,     Gbit/s,GIGABIT POR SEGUNDO
B81,"Reciprocidad del metro cuadrado, reciprocidad del segundo",m??/s,"RECIPROCIDAD DEL METRO CUADRADO, RECIPROCIDAD DEL SEGUNDO"
B82,Pulgadas por pie lineal,,PULGADAS POR PIE LINEAL
B83,Metro a la cuarta potencia, m?,METRO A LA CUARTA POTENCIA
B84,Microamperio, ÁA,MICROAMPERIO
B85,Microbar,Ábar,MICROBAR
B86,MicroCulombio, ÁC,MICROCULOMBIO
B87,MicroCulombio por metro cúbico,ÁC/m?,MICROCULOMBIO POR METRO CUBICO
B88,MicroCulombio por metro cuadrado,ÁC/m?,MICROCULOMBIO POR METRO CUADRADO
B89,Microfaradio por metro,ÁF/m,MICROFARADIO POR METRO
B9,Batt,,BATT
B90,Microhenry, ÁH,MICROHENRY
B91,Microhenry por metro,ÁH/m,MICROHENRY POR METRO
B92,Micronewton, ÁN,MICRONEWTON
B93,Micronewton metro,ÁNÀm,MICRONEWTON METRO
B94,Micro Ohm, Á?,MICRO OHM
B95,MicroOhm metro,Á?Àm,MICROOHM METRO
B96,Micropascal, ÁPa,MICROPASCAL
B97,Microrradián,Árad,MICRORRADIAN
B98,Microsegundo, Ás,MICROSEGUNDO
B99,Microsiemens, ÁS,MICROSIEMENS
BAR,Bar [unidad de presión], bar,BAR [UNIDAD DE PRESION]
BB,Caja base,,CAJA BASE
BFT,Tablero de pies, fbm,TABLERO DE PIES
BH,Cepillo,,CEPILLO
BHP,Potencia al freno, BHP,POTENCIA AL FRENO
BIL,Billon,,BILLON
BLD,Barril seco (EUA),    bbl (US),BARRIL SECO (EUA)
BLL,Barril (EUA),   barrel (US),BARRIL (EUA)
BP,Tabledo de cien pies,,TABLEDO DE CIEN PIES
BPM,Latidos por minuto, BPM,LATIDOS POR MINUTO
BQL,Becquerel, Bq,BECQUEREL
BTU,Unidad térmica británica (tabla internacional),BtuIT,UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL)
BUA,Bushel (EUA),     bu (US),BUSHEL (EUA)
BUI,Bushel (UK),   bushel (UK),BUSHEL (UK)
BW,Peso base,,PESO BASE
BZ,Millones de BTUs,,MILLONES DE BTUS
C0,Llamada,,LLAMADA
C1,Libra de producto compuesto (peso total),,LIBRA DE PRODUCTO COMPUESTO (PESO TOTAL)
C10,Milifaradio, mF,MILIFARADIO
C11,Miligalón,mGal,MILIGALON
C12,Miligramo por metro,mg/m,MILIGRAMO POR METRO
C13,MilliGray, mGy,MILLIGRAY
C14,Milihenry, mH,MILIHENRY
C15,Milijoule, mJ,MILIJOULE
C16,Milímetro por segundo,mm/s,MILIMETRO POR SEGUNDO
C17,Milímetro cuadrado por segundo,mm?/s,MILIMETRO CUADRADO POR SEGUNDO
C18,MiliMol,mmol,MILIMOL
C19,Mol por kilogramo,     mol/kg,MOL POR KILOGRAMO
C2,Carset,,CARSET
C20,Milinewton, mN,MILINEWTON
C21,Kibibit,Kibit,KIBIBIT
C22,Milinewton por metro,mN/m,MILINEWTON POR METRO
C23,MiliOhm metro,m?Àm,MILIOHM METRO
C24,Milipascal segundo,mPaÀs,MILIPASCAL SEGUNDO
C25,Milirradián,mrad,MILIRRADIAN
C26,Milisegundo, ms,MILISEGUNDO
C27,Milisiemens, mS,MILISIEMENS
C28,MilliSievert, mSv,MILLISIEVERT
C29,Militesla, mT,MILITESLA
C3,Microvoltios por metro,ÁV/m,MICROVOLTIOS POR METRO
C30,Milivoltio por metro,mV/m,MILIVOLTIO POR METRO
C31,Miliwatt, mW,MILIWATT
C32,Miliwatt por metro cuadrado,mW/m?,MILIWATT POR METRO CUADRADO
C33,Miliweber, mWb,MILIWEBER
C34,Mol, mol,MOL
C35,Mol por decimetro cúbico,     mol/dm?,MOL POR DECIMETRO CUBICO
C36,Mol por metro cúbico,     mol/m?,MOL POR METRO CUBICO
C37,Kilobits,kbit,KILOBITS
