"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
J72,Centinewton metro,cNÀm,CENTINEWTON METRO
J73,Centipoise por kelvin,cP/K,CENTIPOISE POR KELVIN
J74,Centipoise por bar,     cP/bar,CENTIPOISE POR BAR
J75,Caloría, cal,CALORIA
J76,Caloría (tabla internacional) por gramo gadro celsius,  calIT/(gÀ?C),CALORIA (TABLA INTERNACIONAL) POR GRAMO GADRO CELSIUS
J78,Caloría (termoquímica) por centímetro segundo grado celsius, calth/(cmÀsÀ?C),CALORIA (TERMOQUIMICA) POR CENTIMETRO SEGUNDO GRADO CELSIUS
J79,Caloría (termoquímico) por gramo gadro celsius,  calth/(gÀ?C),CALORIA (TERMOQUIMICO) POR GRAMO GADRO CELSIUS
J81,Caloría (termoquímica) por minuto,    calth/min,CALORIA (TERMOQUIMICA) POR MINUTO
J82,Caloría (termoquímica) por segundo,     calth/s,CALORIA (TERMOQUIMICA) POR SEGUNDO
J83,Clo, clo,CLO
J84,Centímetro por segundo kelvin,    (cm/s)/K,CENTIMETRO POR SEGUNDO KELVIN
J85,Centímetro por segundo bar,   (cm/s)/bar,CENTIMETRO POR SEGUNDO BAR
J87,Centímetro cúbico por metro cúbico,     cm?/m?,CENTIMETRO CUBICO POR METRO CUBICO
J89,Centímetro de mercurio,Cm Hg,CENTIMETRO DE MERCURIO
J90,Decímetro cúbico por día,dm?/d,DECIMETRO CUBICO POR DIA
J91,Decímetro cúbico por metro cúbico,     dm?/m?,DECIMETRO CUBICO POR METRO CUBICO
J92,Decímetro cúbico por minuto,     dm?/min,DECIMETRO CUBICO POR MINUTO
J93,Decímetro cúbico por segundo,dm?/s,DECIMETRO CUBICO POR SEGUNDO
J94,Dyne centímetro,    Dyn À cm,DYNE CENTIMETRO
J95,"Onza (fluido, UK) por día",  fl oz (UK)/d,"ONZA (FLUIDO, UK) POR DIA"
J96,"Onza (fluido, UK) por hora",  fl oz (UK)/h,"ONZA (FLUIDO, UK) POR HORA"
J97,"Onza (fluido, UK) por minuto", fl oz (UK)/min,"ONZA (FLUIDO, UK) POR MINUTO"
J98,"Onza (fluido, UK) por segundo",  fl oz (UK)/s,"ONZA (FLUIDO, UK) POR SEGUNDO"
J99,"Onza (fluido, estados unidos) por día",  fl oz (US)/d,"ONZA (FLUIDO, ESTADOS UNIDOS) POR DIA"
JB,Jumbo,,JUMBO
JE,Joule por kelvin, J/K,JOULE POR KELVIN
JK,Megajoule por kilogramo,MJ/kg,MEGAJOULE POR KILOGRAMO
JM,Megajoule por metro cúbico,MJ/m?,MEGAJOULE POR METRO CUBICO
JNT,Junta de tubería,,JUNTA DE TUBERIA
Jo,Articulación,,ARTICULACION
JOU,Joule,  J,JOULE
JPS,Cien metros,,CIEN METROS
JWL,Número de joyas,,NUMERO DE JOYAS
K1,Demanda de kilowatt,,DEMANDA DE KILOWATT
K10,"Onza (fluido, estados unidos) por hora",  fl oz (US)/h,"ONZA (FLUIDO, ESTADOS UNIDOS) POR HORA"
K11,"Onza (fluido, estados unidos) por minuto", fl oz (US)/min,"ONZA (FLUIDO, ESTADOS UNIDOS) POR MINUTO"
K12,"Onza (fluido, estados unidos) por segundo",  fl oz (US)/s,"ONZA (FLUIDO, ESTADOS UNIDOS) POR SEGUNDO"
K13,Pie por grado fahrenheit,ft/?F,PIE POR GRADO FAHRENHEIT
K14,Pie por hora,ft/h,PIE POR HORA
K15,Pie libra-fuerza por hora,    ftÀlbf/h,PIE LIBRA-FUERZA POR HORA
K16,Pie libra-fuerza por minuto,   ftÀlbf/min,PIE LIBRA-FUERZA POR MINUTO
K17,Pie por psi (libra por pulgada cuadrada),     ft/psi,PIE POR PSI (LIBRA POR PULGADA CUADRADA)
K18,Pie por segundo grado fahrenheit,    (ft/s)/?F,PIE POR SEGUNDO GRADO FAHRENHEIT
K19,Pie por segundo psi (libra por pulgada cuadrada),   (ft/s)/psi,PIE POR SEGUNDO PSI (LIBRA POR PULGADA CUADRADA)
K2,Kilovoltios amperios demanda reactiva,,KILOVOLTIOS AMPERIOS DEMANDA REACTIVA
K20,Reciprocidad del pie cuadrado,1/ft?,RECIPROCIDAD DEL PIE CUADRADO
K21,Pie cúbico por grado fahrenheit,     ft?/?F,PIE CUBICO POR GRADO FAHRENHEIT
K22,Pie cúbico por día,ft?/d,PIE CUBICO POR DIA
K23,Pie cúbico por psi (libra por pulgada cuadrada),     ft?/psi,PIE CUBICO POR PSI (LIBRA POR PULGADA CUADRADA)
K24,Pie de agua,  Ft H $ ? $ O,PIE DE AGUA
K25,Pie de mercurio,Ft Hg,PIE DE MERCURIO
K26,Galón (UK) por día,   gal (UK)/d,GALON (UK) POR DIA
K27,Galón (UK) por hora,   gal (UK)/h,GALON (UK) POR HORA
K28,Galón (UK) por segundo,   gal (UK)/s,GALON (UK) POR SEGUNDO
K3,Kilovoltio amperio hora reactivo,     kvarÀh,KILOVOLTIO AMPERIO HORA REACTIVO
K30,"Galón (líquido, EUA) por segundo", gal (US liq.)/s,"GALON (LIQUIDO, EUA) POR SEGUNDO"
K31,Gramo-fuerza por centímetro cuadrado,     gf/cm?,GRAMO-FUERZA POR CENTIMETRO CUADRADO
K32,Gill (UK) por día,    gi (UK)/d,GILL (UK) POR DIA
K33,Gill (UK) por hora,    gi (UK)/h,GILL (UK) POR HORA
K34,Gill (UK) por minuto,   gi (UK)/min,GILL (UK) POR MINUTO
K35,Gill (UK) por segundo,    gi (UK)/s,GILL (UK) POR SEGUNDO
K36,Gill (estados unidos) por día,    gi (US)/d,GILL (ESTADOS UNIDOS) POR DIA
K37,Gill (estados unidos) por hora,    gi (US)/h,GILL (ESTADOS UNIDOS) POR HORA
K38,Gill (estados unidos) por minuto,   gi (US)/min,GILL (ESTADOS UNIDOS) POR MINUTO
K39,Gill (estados unidos) por segundo,    gi (US)/s,GILL (ESTADOS UNIDOS) POR SEGUNDO
K40,Aceleración estándar de la caída libre, gn,ACELERACION ESTANDAR DE LA CAIDA LIBRE
K41,Grano por galón (EUA),   gr/gal (US),GRANO POR GALON (EUA)
K42,Caballo de fuerza de caldera,    boiler hp,CABALLO DE FUERZA DE CALDERA
K43,Caballo de fuerza (eléctrico),   electric hp,CABALLO DE FUERZA (ELECTRICO)
K45,Pulgada por grado fahrenheit,in/?F,PULGADA POR GRADO FAHRENHEIT
K46,Pulgada por psi (libra por pulgada cuadrada),     in/psi,PULGADA POR PSI (LIBRA POR PULGADA CUADRADA)
K47,Pulgada por segundo grado fahrenheit,    (in/s)/?F,PULGADA POR SEGUNDO GRADO FAHRENHEIT
K48,Pulgada por segundo psi (libra por pulgada cuadrada),   (in/s)/psi,PULGADA POR SEGUNDO PSI (LIBRA POR PULGADA CUADRADA)
K49,Reciprocidad de la pulgada cuadrada,1/in?,RECIPROCIDAD DE LA PULGADA CUADRADA
K5,Kilovoltios amperios (reactivos),Kvar,KILOVOLTIOS AMPERIOS (REACTIVOS)
K50,Kilobaud, kBd,KILOBAUD
K51,Kilocaloría (significado),kcal,KILOCALORIA (SIGNIFICADO)
K52,Kilocaloría (tabla internacional) por hora metro grado celsius,  kcal/(mÀhÀ?C),KILOCALORIA (TABLA INTERNACIONAL) POR HORA METRO GRADO CELSIUS
K53,Kilocaloría (termoquímico),     kcalth,KILOCALORIA (TERMOQUIMICO)
K54,Kilocaloría (termoquímica) por minuto,   kcalth/min,KILOCALORIA (TERMOQUIMICA) POR MINUTO
K55,Kilocaloría (termoquímica) por segundo,    kcalth/s,KILOCALORIA (TERMOQUIMICA) POR SEGUNDO
K58,KiloMol por hora,     kmol/h,KILOMOL POR HORA
K59,KiloMol por metro cúbico kelvin,   (kmol/m?)/K,KILOMOL POR METRO CUBICO KELVIN
K6,Kilolitro, kl,KILOLITRO
K60,KiloMol por metro cúbico bar,  (kmol/m?)/bar,KILOMOL POR METRO CUBICO BAR
K61,KiloMol por minuto,    kmol/min,KILOMOL POR MINUTO
K62,Litro por litro, l/l,LITRO POR LITRO
K63,Reciprocidad del litro, 1/l,RECIPROCIDAD DEL LITRO
K64,Libra (avoirdupois) por grado fahrenheit,lb/?F,LIBRA (AVOIRDUPOIS) POR GRADO FAHRENHEIT
K65,Libra (avoirdupois) pie cuadrado,     lbÀft?,LIBRA (AVOIRDUPOIS) PIE CUADRADO
K66,Libra (avoirdupois) por día,lb/d,LIBRA (AVOIRDUPOIS) POR DIA
K67,Libra por pie hora,    lb/(ftÀh),LIBRA POR PIE HORA
K68,Libra por pie segundo,    lb/(ftÀs),LIBRA POR PIE SEGUNDO
K69,Libra (avoirdupois) por pie cúbico grado fahrenheit,   (lb/ft?)/?F,LIBRA (AVOIRDUPOIS) POR PIE CUBICO GRADO FAHRENHEIT
K70,Libra (avoirdupois) por pie cúbico psi,  (lb/ft?)/psi,LIBRA (AVOIRDUPOIS) POR PIE CUBICO PSI
K71,Libra (avoirdupois) por galón (UK),   lb/gal (UK),LIBRA (AVOIRDUPOIS) POR GALON (UK)
K73,Libra (avoirdupois) por hora grados fahrenheit,    (lb/h)/?F,LIBRA (AVOIRDUPOIS) POR HORA GRADOS FAHRENHEIT
K74,Libra (avoirdupois) por hora libra-fuerza por pulgada cuadrada,   (lb/h)/psi,LIBRA (AVOIRDUPOIS) POR HORA LIBRA-FUERZA POR PULGADA CUADRADA
K75,Libra (avoirdupois) por pulgada cúbica grado fahrenheit,   (lb/in?)/?F,LIBRA (AVOIRDUPOIS) POR PULGADA CUBICA GRADO FAHRENHEIT
K76,Libra (avoirdupois) por pulgada cúbica psi,  (lb/in?)/psi,LIBRA (AVOIRDUPOIS) POR PULGADA CUBICA PSI
K77,Libra (avoirdupois) por psi,     lb/psi,LIBRA (AVOIRDUPOIS) POR PSI
K78,Libra (avoirdupois) por minuto,     lb/min,LIBRA (AVOIRDUPOIS) POR MINUTO
K79,Libra (avoirdupois) por minuto grados fahrenheit,   lb/(minÀ?F),LIBRA (AVOIRDUPOIS) POR MINUTO GRADOS FAHRENHEIT
K80,Libra (avoirdupois) por minuto libra-fuerza por pulgada cuadrada,  (lb/min)/psi,LIBRA (AVOIRDUPOIS) POR MINUTO LIBRA-FUERZA POR PULGADA CUADRADA
K81,Libra (avoirdupois) por segundo,lb/s,LIBRA (AVOIRDUPOIS) POR SEGUNDO
K82,Libra (avoirdupois)por segundo grados fahrenheit,    (lb/s)/?F,LIBRA (AVOIRDUPOIS)POR SEGUNDO GRADOS FAHRENHEIT
K83,Libra (avoirdupois) por segundo libra-fuerza por pulgada cuadrada,   (lb/s)/psi,LIBRA (AVOIRDUPOIS) POR SEGUNDO LIBRA-FUERZA POR PULGADA CUADRADA
K84,Libra por yarda cúbica,     lb/yd?,LIBRA POR YARDA CUBICA
K85,Libra-fuerza por pie cuadrado,     lbf/ft?,LIBRA-FUERZA POR PIE CUADRADO
K86,Libra-fuerza por pulgada cuadrada grados fahrenheit,     psi/?F,LIBRA-FUERZA POR PULGADA CUADRADA GRADOS FAHRENHEIT
K87,Libra-fuerza por pulgada cuadrada pulgada cúbica por segundo,    psiÀin?/s,LIBRA-FUERZA POR PULGADA CUADRADA PULGADA CUBICA POR SEGUNDO
K88,Libra-fuerza por pulgada cuadrada litro por segundo,     psiÀl/s,LIBRA-FUERZA POR PULGADA CUADRADA LITRO POR SEGUNDO
K89,Libra-fuerza por pulgada cuadrada metro cúbico por segundo,    psiÀm?/s,LIBRA-FUERZA POR PULGADA CUADRADA METRO CUBICO POR SEGUNDO
K90,Libra-fuerza por pulgada cuadrada yarda cúbica por segundo,    psiÀyd?/s,LIBRA-FUERZA POR PULGADA CUADRADA YARDA CUBICA POR SEGUNDO
K91,Libra-fuerza segundo por pie cuadrado,    lbfÀs/ft?,LIBRA-FUERZA SEGUNDO POR PIE CUADRADO
K92,Libra-fuerza segundo por pulgada cuadrada,    lbfÀs/in?,LIBRA-FUERZA SEGUNDO POR PULGADA CUADRADA
K93,Reciprocidad psi,1/psi,RECIPROCIDAD PSI
K94,"Cuarto (líquido, UK) por día", qt (UK liq.)/d,"CUARTO (LIQUIDO, UK) POR DIA"
K95,"Cuarto (líquido, UK) por hora", qt (UK liq.)/h,"CUARTO (LIQUIDO, UK) POR HORA"
K96,"Cuarto (líquido, UK) por minuto",qt (UK liq.)/min,"CUARTO (LIQUIDO, UK) POR MINUTO"
K97,"Cuarto (líquido, UK) por segundo", qt (UK liq.)/s,"CUARTO (LIQUIDO, UK) POR SEGUNDO"
K98,"Cuarto (líquido, estados unidos) por día", qt (US liq.)/d,"CUARTO (LIQUIDO, ESTADOS UNIDOS) POR DIA"
K99,"Cuarto (líquido, estados unidos) por hora", qt (US liq.)/h,"CUARTO (LIQUIDO, ESTADOS UNIDOS) POR HORA"
KA,Pastel,,PASTEL
KAT,Katal, kat,KATAL
KB,Kilocaracter,,KILOCARACTER
KBA,Kilobar,kbar,KILOBAR
KCC,Kilogramo de cloruro de colina,  kg C? H??ClNO,KILOGRAMO DE CLORURO DE COLINA
KD,Kilogram decimal,,KILOGRAM DECIMAL
KDW,Kilogramo de peso neto drenado,   kg/net eda,KILOGRAMO DE PESO NETO DRENADO
KEL,Kelvin,  K,KELVIN
KF,Kilopacket,,KILOPACKET
KGM,Kilogramo, kg,KILOGRAMO
KGS,Kilogramo por segundo,kg/s,KILOGRAMO POR SEGUNDO
KHY,Kilogramo de peróxido de hidrógeno,     kg H?O?,KILOGRAMO DE PEROXIDO DE HIDROGENO
KHZ,Kilohertz, kHz,KILOHERTZ
KI,Kilogramo por milímetro de ancho,,KILOGRAMO POR MILIMETRO DE ANCHO
KIC,"Kilogramo, incluyendo el contenedor",,"KILOGRAMO, INCLUYENDO EL CONTENEDOR"
KIP,"Kilogramo, incluyendo el empaquetado interno",,"KILOGRAMO, INCLUYENDO EL EMPAQUETADO INTERNO"
KJ,Kilosegmento,,KILOSEGMENTO
KJO,Kilojoule, kJ,KILOJOULE
KL,Kilogramo por metro,kg/m,KILOGRAMO POR METRO
KLK,Porcentaje de material seco láctico,,PORCENTAJE DE MATERIAL SECO LACTICO
KLX,Kilolux, klx,KILOLUX
KMA,Kilogramo de metilamina,   kg met.am.,KILOGRAMO DE METILAMINA
KMH,Kilómetro por hora,km/h,KILOMETRO POR HORA
KMK,Kilómetro cuadrado, km?,KILOMETRO CUADRADO
KMQ,Kilogramo por metro cúbico,kg/m?,KILOGRAMO POR METRO CUBICO
KMT,Kilómetro, km,KILOMETRO
KNI,Kilogramo de nitrógeno,kg N,KILOGRAMO DE NITROGENO
KNM,Kolonewton por metro cuadrado,KN/m2,KOLONEWTON POR METRO CUADRADO
KNS,Kilogram sustancia nombrada,,KILOGRAM SUSTANCIA NOMBRADA
KNT,Nudo, kn,NUDO
KO,Miliequivalentes de potasa cáustica por gramo de producto,,MILIEQUIVALENTES DE POTASA CAUSTICA POR GRAMO DE PRODUCTO
KPA,Kilopascal, kPa,KILOPASCAL
KPH,Kilogramo de hidróxido de potasio (potasa cáustica),     kg KOH,KILOGRAMO DE HIDROXIDO DE POTASIO (POTASA CAUSTICA)
KPO,Kilogramo de óxido de potasio,     kg K?O,KILOGRAMO DE OXIDO DE POTASIO
KPP,Kilogramo de pentóxido de fósforo (anhídrido fosfórico),,KILOGRAMO DE PENTOXIDO DE FOSFORO (ANHIDRIDO FOSFORICO)
KR,Kiloroentgen, kR,KILOROENTGEN
KS,Mil libras por pulgada cuadrada,,MIL LIBRAS POR PULGADA CUADRADA
KSD,Kilogramo de sustancia 90% seco,   kg 90 % sdt,KILOGRAMO DE SUSTANCIA 90% SECO
KSH,Kilogramo de hidróxido de sodio (sodio cáustica),     kg NaOH,KILOGRAMO DE HIDROXIDO DE SODIO (SODIO CAUSTICA)
KT,Kit,,KIT
KTN,Kilotonelada Métrica, kt,KILOTONELADA METRICA
KUR,Kilogramo de uranio,kg U,KILOGRAMO DE URANIO
KVA,Kilovoltio - amperio,kVÀA,KILOVOLTIO - AMPERIO
KVR,Kilovar,kvar,KILOVAR
KVT,Kilovoltio, kV,KILOVOLTIO
KW,Kilogramo por milímetro,kg/mm,KILOGRAMO POR MILIMETRO
KWH,Kilowatt hora,kWÀh,KILOWATT HORA
KWN,Kilowatt hora por metro cúbico normalizado,,KILOWATT HORA POR METRO CUBICO NORMALIZADO
KWO,Kilogramo de trióxido de tungsteno,     kg WO?,KILOGRAMO DE TRIOXIDO DE TUNGSTENO
KWS,Kilowatt hora por metro cúbico estándar,,KILOWATT HORA POR METRO CUBICO ESTANDAR
KWT,Kilowatt, kW,KILOWATT
KX,Mililitro por kilogramo,ml/kg,MILILITRO POR KILOGRAMO
L10,"Cuarto (líquido, estados unidos) por minuto",qt (US liq.)/min,"CUARTO (LIQUIDO, ESTADOS UNIDOS) POR MINUTO"
L11,"Cuarto (líquido, estados unidos) por segundo", qt (US liq.)/s,"CUARTO (LIQUIDO, ESTADOS UNIDOS) POR SEGUNDO"
L12,Metro por segundo kelvin,     (m/s)/K,METRO POR SEGUNDO KELVIN
L13,Metro por segundo bar,    (m/s)/bar,METRO POR SEGUNDO BAR
L14,Metro cuadrado hora grado celsius por kilocaloría (tabla internacional),  m?ÀhÀ?C/kcal,METRO CUADRADO HORA GRADO CELSIUS POR KILOCALORIA (TABLA INTERNACIONAL)
L15,Milipascal segundo por kelvin,     mPaÀs/K,MILIPASCAL SEGUNDO POR KELVIN
L16,Milipascal segundo por bar,    mPaÀs/bar,MILIPASCAL SEGUNDO POR BAR
L17,Miligramo por metro cúbico kelvin,    (mg/m?)/K,MILIGRAMO POR METRO CUBICO KELVIN
L18,Miligramo por metro cúbico bar,   (mg/m?)/bar,MILIGRAMO POR METRO CUBICO BAR
L19,Mililitro por litro,ml/l,MILILITRO POR LITRO
L2,Litro por minuto,l/min,LITRO POR MINUTO
L20,Reciprocidad del milimetro cúbico,1/mm?,RECIPROCIDAD DEL MILIMETRO CUBICO
L21,Milimetro cúbico por metro cúbico,     mm?/m?,MILIMETRO CUBICO POR METRO CUBICO
L23,Mol por hora,mol/h,MOL POR HORA
L24,Mol por kilogramo kelvin,   (mol/kg)/K,MOL POR KILOGRAMO KELVIN
L25,Mol por kilogramo bar,  (mol/kg)/bar,MOL POR KILOGRAMO BAR
L26,Mol por litreo kelvin,    (mol/l)/K,MOL POR LITREO KELVIN
L27,Mol por litro bar,   (mol/l)/bar,MOL POR LITRO BAR
L28,Mol por metro cúbico kelvin,   (mol/m?)/K,MOL POR METRO CUBICO KELVIN
L29,Mol por metro cúbico bar,  (mol/m?)/bar,MOL POR METRO CUBICO BAR
L30,Mol por minuto,     mol/min,MOL POR MINUTO
L31,Milliroentgen aequivalent men,mrem,MILLIROENTGEN AEQUIVALENT MEN
L32,Nanogramo por kilogramo,ng/kg,NANOGRAMO POR KILOGRAMO
L33,Onza (avoirdupois) por día,oz/d,ONZA (AVOIRDUPOIS) POR DIA
L34,Onza (avoirdupois) por hora,oz/h,ONZA (AVOIRDUPOIS) POR HORA
L35,Onza (avoirdupois) por minuto,     oz/min,ONZA (AVOIRDUPOIS) POR MINUTO
L36,Onza (avoirdupois) por segundo,oz/s,ONZA (AVOIRDUPOIS) POR SEGUNDO
L37,Onza (avoirdupois) por galón (UK),   oz/gal (UK),ONZA (AVOIRDUPOIS) POR GALON (UK)
L38,Onza (avoirdupois) por galón (EUA),   oz/gal (US),ONZA (AVOIRDUPOIS) POR GALON (EUA)
L39,Onza (avoirdupois) por pulgada cúbica,     oz/in?,ONZA (AVOIRDUPOIS) POR PULGADA CUBICA
L40,Onza fuerza, ozf,ONZA FUERZA
L41,Onza (avoirdupois) fuerza pulgada,     ozfÀin,ONZA (AVOIRDUPOIS) FUERZA PULGADA
L42,Picosiemens por metro,pS/m,PICOSIEMENS POR METRO
L43,Peck (UK),     pk (UK),PECK (UK)
L44,Peck (UK) por día,    pk (UK)/d,PECK (UK) POR DIA
L45,Peck (UK) por hora,    pk (UK)/h,PECK (UK) POR HORA
L46,Peck (UK) por minuto,   pk (UK)/min,PECK (UK) POR MINUTO
L47,Peck (UK) por segundo,    pk (UK)/s,PECK (UK) POR SEGUNDO
L48,"Peck (seco, estados unidos) por día",  pk (US dry)/d,"PECK (SECO, ESTADOS UNIDOS) POR DIA"
L49,"Peck (seco, estados unidos) por hora",  pk (US dry)/h,"PECK (SECO, ESTADOS UNIDOS) POR HORA"
L50,"Peck (seco, estados unidos) por minuto", pk (US dry)/min,"PECK (SECO, ESTADOS UNIDOS) POR MINUTO"
L51,"Peck (seco, estados unidos) por segundo",  pk (US dry)/s,"PECK (SECO, ESTADOS UNIDOS) POR SEGUNDO"
L52,Libra.fuerza por pulgada cuadrada por libra fuerza por pulgada cuadrada,     psi/psi,LIBRA.FUERZA POR PULGADA CUADRADA POR LIBRA FUERZA POR PULGADA CUADRADA
L53,Pinta (UK) por día,    pt (UK)/d,PINTA (UK) POR DIA
L54,Pinta (UK) por hora,    pt (UK)/h,PINTA (UK) POR HORA
L55,Pinta (UK) por minuto,   pt (UK)/min,PINTA (UK) POR MINUTO
L56,Pinta (UK) por segundo,    pt (UK)/s,PINTA (UK) POR SEGUNDO
L57,"Pinta (líquido, estados unidos) por día", pt (US liq.)/d,"PINTA (LIQUIDO, ESTADOS UNIDOS) POR DIA"
L58,"Pinta (líquido, estados unidos) por hora", pt (US liq.)/h,"PINTA (LIQUIDO, ESTADOS UNIDOS) POR HORA"
L59,"Pinta (líquido, estados unidos) por minuto",pt (US liq.)/min,"PINTA (LIQUIDO, ESTADOS UNIDOS) POR MINUTO"
L60,"Pinta (líquido, estados unidos) por segundo", pt (US liq.)/s,"PINTA (LIQUIDO, ESTADOS UNIDOS) POR SEGUNDO"
L61,Pinta (US seco),  Pt (US seco),PINTA (US SECO)
L62,Cuarto de galón (seco de los EUA),  Qt (US seco),CUARTO DE GALON (SECO DE LOS EUA)
L63,Slug por día,     slug/d,SLUG POR DIA
L64,Slug por pie segundo,   slug/(ftÀs),SLUG POR PIE SEGUNDO
L65,Slug por pie cúbico,    slug/ft?,SLUG POR PIE CUBICO
L66,Slug por hora,     slug/h,SLUG POR HORA
L67,Slug por minuto,    slug/min,SLUG POR MINUTO
L68,Slug por segundo,     slug/s,SLUG POR SEGUNDO
L69,Tonelada por kelvin, t/K,TONELADA POR KELVIN
L70,Tonelada por bar,t/bar,TONELADA POR BAR
L71,Tonelada por día, t/d,TONELADA POR DIA
L72,Tonelada por día kelvin,     (t/d)/K,TONELADA POR DIA KELVIN
L73,Tonelada por día bar,    (t/d)/bar,TONELADA POR DIA BAR
L74,Tonelada por hora kelvin,     (t/h)/K,TONELADA POR HORA KELVIN
L75,Tonelada por hora bar,    (t/h)/bar,TONELADA POR HORA BAR
L76,Tonelada por metro cúbico kelvin,    (t/m?)/K,TONELADA POR METRO CUBICO KELVIN
L77,Tonelada por metro cúbico bar,   (t/m?)/bar,TONELADA POR METRO CUBICO BAR
L78,Tonelada por minuto,t/min,TONELADA POR MINUTO
L79,Tonelada por minuto kelvin,    (t/min)/K,TONELADA POR MINUTO KELVIN
L80,Tonelada por minuto bar,   (t/min)/bar,TONELADA POR MINUTO BAR
L81,Tonelada por segundo, t/s,TONELADA POR SEGUNDO
L82,Tonelada por segundo kelvin,     (t/s)/K,TONELADA POR SEGUNDO KELVIN
L83,Tonelada por segundo bar,    (t/s)/bar,TONELADA POR SEGUNDO BAR
L84,Tonelada (flota UK),British shipping ton,TONELADA (FLOTA UK)
L85,Tonelada larga por día,   ton (UK)/d,TONELADA LARGA POR DIA
L86,Tonelada (flota estados unidos),(US) shipping ton,TONELADA (FLOTA ESTADOS UNIDOS)
L87,Tonelada corta por grado fahrenheit,   ton (US)/?F,TONELADA CORTA POR GRADO FAHRENHEIT
L88,Tonelada corta por día,   ton (US)/d,TONELADA CORTA POR DIA
L89,Tonelada corta por hora grados fahrenheit, ton (US)/(hÀ?F),TONELADA CORTA POR HORA GRADOS FAHRENHEIT
L90,Tonelada corta por hora libra-fuerza por pulgada cuadrada,(ton (US)/h)/psi,TONELADA CORTA POR HORA LIBRA-FUERZA POR PULGADA CUADRADA
L91,Tonelada corta por psi,  ton (US)/psi,TONELADA CORTA POR PSI
L92,Tonelada larga (UK) por yarda cúbica, ton.l/yd? (UK),TONELADA LARGA (UK) POR YARDA CUBICA
L93,Tonelada corta (estados unidos) por yarda cúbica, ton.s/yd? (US),TONELADA CORTA (ESTADOS UNIDOS) POR YARDA CUBICA
L94,Tonelada fuerza,  ton.sh-force,TONELADA FUERZA
L95,Año común,  y (365 days),ANO COMUN
L96,Año sideral,  y (sidereal),ANO SIDERAL
L98,Yarda por grado fahrenheit,yd/?F,YARDA POR GRADO FAHRENHEIT
L99,Yarda por psi (libra por pulgada cuadrada),     yd/psi,YARDA POR PSI (LIBRA POR PULGADA CUADRADA)
LA,Libra por pulgada cúbica,     lb/in?,LIBRA POR PULGADA CUBICA
LAC,Porcentaje de exceso de lactosa,,PORCENTAJE DE EXCESO DE LACTOSA
LBR,Libra, lb,LIBRA
LBT,Troy pound,,TROY POUND
LC,Centímetro lineal,,CENTIMETRO LINEAL
LD,Litro por día, l/d,LITRO POR DIA
LE,Lite,,LITE
LEF,Hoja,,HOJA
LF,Pie lineal,,PIE LINEAL
LH,Hora de trabajo,,HORA DE TRABAJO
LI,Pulgada lineal,,PULGADA LINEAL
LJ,Spray grande,,SPRAY GRANDE
LK,Enlazar,,ENLAZAR
LM,Metro lineal,,METRO LINEAL
LN,Longitud,,LONGITUD
LO,Lote [unidad de adquisición],,LOTE [UNIDAD DE ADQUISICION]
LP,Libra líquida,,LIBRA LIQUIDA
LPA,Litro de alcohol puro,,LITRO DE ALCOHOL PURO
LR,Capa,,CAPA
LS,Suma global,,SUMA GLOBAL
LTN,Tonelada (UK) o tonelada larga (estados unidos),    ton (UK),TONELADA (UK) O TONELADA LARGA (ESTADOS UNIDOS)
LTR,Litro,  l,LITRO
LUB,"Tonelada métrica, aceite lubricante",,"TONELADA METRICA, ACEITE LUBRICANTE"
LUM,Lumen, lm,LUMEN
LUX,Lux, lx,LUX
LX,Yarda lineal por libra,,YARDA LINEAL POR LIBRA
LY,Yarda lineal,,YARDA LINEAL
M0,cinta magnética,,CINTA MAGNETICA
M1,Miligramo por litro,mg/l,MILIGRAMO POR LITRO
M10,Reciprocidad de la yarda cuadrada,1/yd?,RECIPROCIDAD DE LA YARDA CUADRADA
M11,Yarda cúbica por grado fahrenheit,     yd?/?F,YARDA CUBICA POR GRADO FAHRENHEIT
M12,Yarda cúbica por día,yd?/d,YARDA CUBICA POR DIA
M13,Yarda cúbica por hora,yd?/h,YARDA CUBICA POR HORA
M14,Yarda cúbica por psi (libra por pulgada cuadrada),     yd?/psi,YARDA CUBICA POR PSI (LIBRA POR PULGADA CUADRADA)
M15,Yarda cúbica por minuto,     yd?/min,YARDA CUBICA POR MINUTO
M16,Yarda cúbica por segundo,yd?/s,YARDA CUBICA POR SEGUNDO
M17,Kilohertz metro,kHzÀm,KILOHERTZ METRO
M18,Gigahertz metro,GHzÀm,GIGAHERTZ METRO
M19,Beaufort, Bft,BEAUFORT
M20,Recíproco de megakelvin ó megakelvin a la potencia menos 1,1/MK,RECIPROCO DE MEGAKELVIN O MEGAKELVIN A LA POTENCIA MENOS 1
M21,Kilovoltio-amperio hora recíprocidad,     1/kVAh,KILOVOLTIO-AMPERIO HORA RECIPROCIDAD
M22,Milímetro por centímetro cuadrado minuto,  (ml/min)/cm?,MILIMETRO POR CENTIMETRO CUADRADO MINUTO
M23,Newton por centímetro,N/cm,NEWTON POR CENTIMETRO
M24,Ohm kilómetro,?Àkm,OHM KILOMETRO
M25,Porcentaje por grado celsius,%/?C,PORCENTAJE POR GRADO CELSIUS
M26,GigaOhm por metro,G?/m,GIGAOHM POR METRO
M27,Megahertz metro,MHzÀm,MEGAHERTZ METRO
